Domain,Model,negative_count,neutral_count,positive_count,negative_correct_rate,neutral_correct_rate,positive_correct_rate,negative_as_neutral,negative_as_positive,neutral_as_negative,neutral_as_positive,positive_as_negative,positive_as_neutral
Book Reviews,BERT_Feature_Extractor__LR,5292,3814,35894,71.25850340136054,54.011536444677496,74.31882765921881,21.71201814058957,7.029478458049887,24.14787624541164,21.840587309910855,7.990193347077507,17.69097899370368
Book Reviews,BERT_Full_FT,5292,3814,35894,78.04232804232805,48.217094913476664,96.79054995263833,12.83068783068783,9.126984126984127,16.255899318300994,35.52700576822234,0.8218643784476515,2.3875856689140247
Book Reviews,BERT_LoRA_FT,5292,3814,35894,70.59712773998487,26.97954902988988,96.89641722850617,9.939531368102797,19.46334089191232,18.98269533298374,54.037755637126374,1.6214409093441802,1.482141862149663
Book Reviews,BiLSTM (GloVe_Emb),5292,3814,35894,71.56084656084656,28.893550078657576,96.70418454337772,9.145880574452004,19.293272864701436,20.503408495018352,50.60304142632407,1.4877138240374435,1.8081016325848334
Book Reviews,BiLSTM (Learned_Emb),5292,3814,35894,59.145880574452,11.536444677503933,98.62372541371816,7.06727135298564,33.78684807256236,17.068694284216047,71.39486103828003,0.8970858639326907,0.4791887223491391
Book Reviews,CNN-LSTM (GloVe_Emb),5292,3814,35894,66.02418745275888,28.63135815416885,97.33381623669695,11.26228269085412,22.713529856386998,15.731515469323545,55.63712637650761,1.078174625285563,1.588009138017496
Book Reviews,CNN (GloVe_Emb),5292,3814,35894,37.90627362055933,0.7079181961195595,99.34529447818576,0.11337868480725624,61.98034769463341,11.588883062401678,87.70319874147876,0.624059731431437,0.030645790382793782
Book Reviews,CNN (Learned_Emb),5292,3814,35894,61.41345427059712,11.82485579444153,98.1222488438179,2.305366591080877,36.281179138321995,20.529627687467226,67.64551651809124,1.426422243271856,0.45132891291023564
Book Reviews,DistilBERT_Feature_Extractor__LR,5292,3814,35894,73.54497354497354,56.81699003670687,74.27425196411657,19.482237339380195,6.972789115646258,23.335081279496592,19.84792868379654,7.717167214576253,18.00858082130718
Book Reviews,DistilBERT_Full_FT,5292,3814,35894,77.81557067271353,42.553749344520185,96.67911071488271,10.941043083900228,11.243386243386242,17.802831672784478,39.64341898269533,1.1394662060511505,2.181423079066139
Book Reviews,LightGBM,5292,3814,35894,72.94028722600152,49.68536969061353,90.25742463921547,13.83219954648526,13.227513227513226,18.95647614053487,31.3581541688516,3.6440630746085696,6.098512286175962
Book Reviews,Linear_SVM,5292,3814,35894,72.05215419501134,40.377556371263765,92.68680002228785,11.980347694633409,15.967498110355253,21.18510749868904,38.43733613004719,3.120298657157185,4.1929013205549674
Book Reviews,Logistic_Regression,5292,3814,35894,71.95767195767195,39.853172522286314,92.62829442246615,12.037037037037036,16.005291005291006,21.342422653382275,38.804404824331414,2.9949295146821195,4.3767760628517305
Book Reviews,LSTM (GloVe_Emb),5292,3814,35894,66.70445956160242,0.0,97.52604892182536,0.0,33.29554043839758,28.972207656004194,71.02779234399581,2.4739510781746255,0.0
Book Reviews,LSTM (Learned_Emb),5292,3814,35894,61.94255479969766,0.23597273203985317,98.8438179082855,0.3212396069538927,37.73620559334845,24.33141059255375,75.4326166754064,1.142252186995041,0.013929904719451719
Book Reviews,MLP (Avg_GloVe_Emb),5292,3814,35894,22.883597883597883,0.0,98.70173288014709,0.0,77.11640211640211,6.502359727320399,93.4976402726796,1.2982671198529,0.0
Book Reviews,MLP (Avg_Learned_Emb),5292,3814,35894,62.074829931972786,4.0639748295752485,97.82414888282163,1.984126984126984,35.941043083900226,22.60094389092816,73.33508127949659,1.8749651752382013,0.3008859419401571
Book Reviews,Naive_Bayes,5292,3814,35894,29.648526077097504,2.9889879391714733,99.52916922048253,0.8125472411186697,69.53892668178382,7.787100157315155,89.22391190351337,0.37053546553741573,0.10029531398005238
Book Reviews,Random_Forest,5292,3814,35894,65.9297052154195,37.10015731515469,90.49144703850226,8.219954648526077,25.850340136054424,21.027792343995806,41.872050340849505,5.209784365074944,4.298768596422801
Book Reviews,RNN (Learned_Emb),5292,3814,35894,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0
Book Reviews,RoBERTa_Full_FT,5292,3814,35894,81.16024187452759,46.80125852123754,97.16387139911963,11.54572940287226,7.294028722600151,16.99003670686943,36.208704771893025,0.7717167214576253,2.0644118794227446
Book Reviews,RoBERTa_LoRA_FT,5292,3814,35894,80.51776266061981,33.40325117986366,97.21401905610966,8.578987150415722,10.903250188964474,22.941793392763504,43.65495542737284,1.150610129826712,1.6353708140636316
Financial News,BERT_Feature_Extractor__LR,91,432,204,80.21978021978022,74.76851851851852,71.07843137254902,7.6923076923076925,12.087912087912088,8.101851851851851,17.12962962962963,10.294117647058822,18.627450980392158
Financial News,BERT_Full_FT,91,432,204,86.81318681318682,86.57407407407408,81.37254901960785,7.6923076923076925,5.4945054945054945,4.166666666666666,9.25925925925926,1.9607843137254901,16.666666666666664
Financial News,BERT_LoRA_FT,91,432,204,90.10989010989012,83.79629629629629,80.88235294117648,6.593406593406594,3.296703296703297,5.092592592592593,11.11111111111111,3.431372549019608,15.686274509803921
Financial News,BiLSTM (GloVe_Emb),91,432,204,30.76923076923077,90.97222222222221,53.431372549019606,30.76923076923077,38.46153846153847,2.7777777777777777,6.25,5.88235294117647,40.68627450980392
Financial News,BiLSTM (Learned_Emb),91,432,204,51.64835164835166,87.03703703703704,54.41176470588235,21.978021978021978,26.373626373626376,3.009259259259259,9.953703703703704,6.862745098039216,38.72549019607843
