Dataset,Model,Accuracy,F1 (Macro),Precision (Macro),Recall (Macro),F1 (Weighted),Precision (Weighted),Recall (Weighted),Train Time (s),Eval Time (s)
Financial News,DistilBERT Feature Extractor + LR,0.7455295735900963,0.7183765123733528,0.6952977158523765,0.7598562929445283,0.7501347002393307,0.7652550894243542,0.7455295735900963,9.28,0.003
Financial News,BERT Feature Extractor + LR,0.7441540577716643,0.7131130428711074,0.6913478822604202,0.7535557670361593,0.7504047773675495,0.7692967437780741,0.7441540577716643,2.697,0.002
Financial News,DistilBERT Full FT,0.8404401650618982,0.8235341655157988,0.8062278440633666,0.8465264310852546,0.8413002255133367,0.8447563226746198,0.8404401650618982,33.782,0.801
Financial News,BERT Full FT,0.8514442916093535,0.8353445165945166,0.8233709649729319,0.8491993663562291,0.8522584734156261,0.8541837561826048,0.8514442916093535,58.964,1.399
Financial News,RoBERTa Full FT,0.859697386519945,0.8553361473716953,0.8376828151850101,0.8772140622630819,0.8605430153813676,0.864450299028611,0.859697386519945,62.896,1.439
Financial News,FinBERT Full FT,0.8707015130674003,0.8574163395911162,0.8447316300257476,0.8723794361049263,0.8716577590195416,0.8745258230006187,0.8707015130674003,58.347,1.397
Financial News,BERT LoRA FT,0.5914718019257221,0.24776721405934887,0.19770114942528735,0.3317901234567901,0.44168680800676224,0.3524356116302234,0.5914718019257221,33.206,1.506
Financial News,RoBERTa LoRA FT,0.594222833562586,0.24849007765314926,0.19807427785419532,0.3333333333333333,0.44297543416572416,0.3531007759271487,0.594222833562586,34.469,1.585
